 variables= "x","y","f"
 zone i=                    12  datapacking=point
   2.15595186035225       0.674742006753542       1.108407923847167E-003
   1.33295547748505       0.888907528732592       0.102092102280604     
   3.23274860859721       0.843835421007453       0.108583144507629     
   2.55590323970920       0.816920888966416       6.876899904716710E-002
   1.56578821905310       0.639380873571034       5.795719947660637E-004
   1.20263611491136       0.624342121124073       3.823029446808906E-004
  0.705221945776236       0.718029753894539       2.091588997814789E-004
   3.41528132127072       0.726073721505679       2.461790099722740E-002
  0.883205073630716       0.796037346901676       1.315516156091320E-002
   2.77771109790647       0.774689395130561       3.994455772113127E-002
   1.99046090352601       0.679663981243100       9.657361048992360E-004
   2.42644418287170       0.862532756913506       9.562462032899445E-002
